iso2,iso3,kyc_score,eval_kyc_score,basel_score,eval_basel_score,corruption_perception,eval_corruption_perception,gray_or_black_list,attention_factor
AQ,ATA,87,1.15,3,1.03,90,1.11,0,1.048423
NZ,NZL,86.17,1.16,3.53,1.04,88,1.14,0,1.055360
HM,HMD,86.17422678,1.16,4.05,1.04,88,1.14,0,1.056217
GS,SGS,86.17422678,1.16,4.05,1.04,88,1.14,0,1.056217
VG,VGB,86.17422678,1.16,4.05,1.04,88,1.14,0,1.056217
DK,DNK,85.92,1.16,4,1.04,88,1.14,0,1.056706
AX,ALA,86.76,1.15,3.06,1.03,85,1.18,0,1.059946
FI,FIN,86.76,1.15,3.06,1.03,85,1.18,0,1.059946
SE,SWE,86.76,1.15,3.36,1.03,85,1.18,0,1.060446
NO,NOR,86.59,1.15,3,1.03,84,1.19,0,1.062557
SJ,SJM,86.59,1.15,3,1.03,84,1.19,0,1.062557
BV,BVT,86.59,1.15,3,1.03,84,1.19,0,1.062557
NC,NCL,77.69,1.29,3,1.03,88,1.14,0,1.075588
CH,CHE,77.13,1.30,4.89,1.05,85,1.18,0,1.086980
SG,SGP,76.83,1.30,4.65,1.05,85,1.18,0,1.087424
IS,ISL,85.22,1.17,4.16,1.04,75,1.33,0,1.091394
EE,EST,84.35,1.19,5,1.05,75,1.33,0,1.094812
DE,DEU,77.82,1.29,5,1.05,80,1.25,0,1.097503
AU,AUS,79.72,1.25,3.75,1.04,77,1.30,0,1.098432
AT,AUT,79.97,1.25,4.42,1.04,76,1.32,0,1.101743
LU,LUX,74.82,1.34,5,1.05,80,1.25,0,1.106090
NL,NLD,71.93,1.39,4,1.04,82,1.22,0,1.108292
CA,CAN,75.72,1.32,4.67,1.05,77,1.30,0,1.111009
BE,BEL,76.01,1.32,3.94,1.04,76,1.32,0,1.111801
GB,GBR,74.38,1.34,4.05,1.04,77,1.30,0,1.113941
JP,JPN,77.74,1.29,4.99,1.05,74,1.35,0,1.114598
IE,IRL,75.42,1.33,4.45,1.04,72,1.39,0,1.126550
UY,URY,75.55,1.32,3.98,1.04,71,1.41,0,1.128646
FR,FRA,77.69,1.29,4,1.04,69,1.45,0,1.129407
TF,ATF,77.69,1.29,4,1.04,68,1.47,0,1.132959
BT,BTN,77.68,1.29,6.24,1.06,68,1.47,0,1.136720
CL,CHL,78.13,1.28,5,1.05,67,1.49,0,1.137076
HK,HKG,66.94,1.49,5.2,1.05,77,1.30,0,1.140763
US,USA,74.64,1.34,4.6,1.05,67,1.49,0,1.146384
SI,SVN,84.23,1.19,3.3,1.03,60,1.67,0,1.147815
LT,LTU,83.51,1.20,3.51,1.04,60,1.67,0,1.149871
TW,TWN,74.72,1.34,4.39,1.04,65,1.54,0,1.153449
AE,ARE,68.35,1.46,5.91,1.06,71,1.41,0,1.155101
BN,BRN,81.06,1.23,5,1.05,60,1.67,0,1.158387
PT,PRT,77.52,1.29,3.85,1.04,61,1.64,0,1.161306
KR,KOR,77.94,1.28,4.63,1.05,61,1.64,0,1.161447
ES,ESP,75.33,1.33,3.59,1.04,62,1.61,0,1.162716
QA,QAT,72.53,1.38,5,1.05,63,1.59,0,1.169340
SC,SYC,67.56,1.48,5.29,1.05,66,1.52,0,1.174703
LV,LVA,76.11,1.31,4.61,1.05,57,1.75,0,1.185729
SX,SXM,53.86,1.86,4,1.04,82,1.22,0,1.186030
OM,OMN,80.41,1.24,5,1.05,54,1.85,0,1.190913
PL,POL,74.89,1.34,4,1.04,56,1.79,0,1.193501
IL,ISR,67.83,1.47,3.83,1.04,60,1.67,0,1.196540
RW,RWA,77.09,1.30,5,1.05,54,1.85,0,1.199839
CZ,CZE,76.51,1.31,4.28,1.04,54,1.85,0,1.200278
TK,TKL,86.17,1.16,5,1.05,50,2.00,0,1.201749
FO,FRO,85.92,1.16,5,1.05,50,2.00,0,1.202312
CV,CPV,70.18,1.42,6.49,1.06,58,1.72,0,1.202324
YT,MYT,77.69,1.29,5,1.05,53,1.89,0,1.203993
SM,SMR,83.91,1.19,3.42,1.03,50,2.00,0,1.204326
GL,GRL,85.03,1.18,5,1.05,50,2.00,0,1.204343
GE,GEO,71.69,1.39,4.82,1.05,56,1.79,0,1.204801
AD,AND,82.39,1.21,2.73,1.03,50,2.00,0,1.206840
NA,NAM,81.19,1.23,5,1.05,51,1.96,0,1.207077
BM,BMU,83.4,1.20,4.75,1.05,50,2.00,0,1.207757
CY,CYP,68.39,1.46,4.95,1.05,57,1.75,0,1.211015
SA,SAU,75.15,1.33,5.12,1.05,53,1.89,0,1.211444
CR,CRI,67.12,1.49,4.74,1.05,57,1.75,0,1.215276
VA,VAT,80.42,1.24,5,1.05,50,2.00,0,1.215579
CX,CXR,79.72,1.25,5,1.05,50,2.00,0,1.217398
CC,CCK,79.72,1.25,5,1.05,50,2.00,0,1.217398
NF,NFK,79.72,1.25,5,1.05,50,2.00,0,1.217398
IT,ITA,72.41,1.38,4.57,1.05,53,1.89,0,1.218920
PR,PRI,79.04,1.27,5,1.05,50,2.00,0,1.219197
AS,ASM,78.84,1.27,5,1.05,50,2.00,0,1.219732
GU,GUM,78,1.28,5,1.05,50,2.00,0,1.222009
MU,MUS,71.8,1.39,5.32,1.05,53,1.89,0,1.222125
PF,PYF,77.69,1.29,5,1.05,50,2.00,0,1.222861
GP,GLP,77.69,1.29,5,1.05,50,2.00,0,1.222861
BL,BLM,77.69,1.29,5,1.05,50,2.00,0,1.222861
MF,MAF,77.69,1.29,5,1.05,50,2.00,0,1.222861
PM,SPM,77.69,1.29,5,1.05,50,2.00,0,1.222861
WF,WLF,77.69,1.29,5,1.05,50,2.00,0,1.222861
GF,GUF,77.67,1.29,5,1.05,50,2.00,0,1.222916
MQ,MTQ,77.62,1.29,5,1.05,50,2.00,0,1.223055
AI,AIA,77.57,1.29,5,1.05,50,2.00,0,1.223193
MS,MSR,77.55,1.29,5,1.05,50,2.00,0,1.223248
RE,REU,77.54,1.29,5,1.05,50,2.00,0,1.223276
FJ,FJI,77.77,1.29,5.56,1.06,50,2.00,0,1.223574
VI,VIR,76.84,1.30,4.7,1.05,50,2.00,0,1.224734
VI,VIR,76.84,1.30,4.8,1.05,50,2.00,0,1.224901
GG,GGY,76.44,1.31,5,1.05,50,2.00,0,1.226369
GR,GRC,75.61,1.32,3.67,1.04,50,2.00,0,1.226546
GD,GRD,69.84,1.43,5,1.05,53,1.89,0,1.228106
NU,NIU,75.52,1.32,5,1.05,50,2.00,0,1.229025
LI,LIE,75.42,1.33,5,1.05,50,2.00,0,1.229318
JE,JEY,75.34,1.33,5,1.05,50,2.00,0,1.229553
TO,TON,75.2,1.33,5,1.05,50,2.00,0,1.229965
IM,IMN,75.11,1.33,5,1.05,50,2.00,0,1.230230
MP,MNP,74.64,1.34,5,1.05,50,2.00,0,1.231627
IO,IOT,74.38,1.34,5,1.05,50,2.00,0,1.232408
FK,FLK,74.38,1.34,5,1.05,50,2.00,0,1.232408
PN,PCN,74.38,1.34,5,1.05,50,2.00,0,1.232408
SH,SHN,74.38,1.34,5,1.05,50,2.00,0,1.232408
CK,COK,72.6,1.38,3.13,1.03,50,2.00,0,1.234785
MO,MAC,73.75,1.36,5.93,1.06,50,2.00,0,1.235872
MH,MHL,73.24,1.37,5,1.05,50,2.00,0,1.235896
FM,FSM,73.12,1.37,5,1.05,50,2.00,0,1.236269
NR,NRU,72.83,1.37,5,1.05,50,2.00,0,1.237177
NP,NPL,72.66,1.38,5,1.05,50,2.00,0,1.237712
HR,HRV,80.05,1.25,5,1.05,47,2.13,0,1.237813
SK,SVK,74.15,1.35,4.37,1.04,49,2.04,0,1.238856
GI,GIB,72.02,1.39,5,1.05,50,2.00,0,1.239751
BQ,BES,71.93,1.39,5,1.05,50,2.00,0,1.240040
TC,TCA,70.41,1.42,5.35,1.05,50,2.00,0,1.245625
TV,TUV,69.46,1.44,5,1.05,50,2.00,0,1.248280
AW,ABW,68.39,1.46,5,1.05,50,2.00,0,1.252034
KI,KIR,67.93,1.47,5,1.05,50,2.00,0,1.253684
DM,DMA,60.19,1.66,5,1.05,55,1.82,0,1.254931
KN,KNA,66.66,1.50,5,1.05,50,2.00,0,1.258358
AG,ATG,66.57,1.50,4.95,1.05,50,2.00,0,1.258613
WS,WSM,66.68,1.50,5.32,1.05,50,2.00,0,1.258817
MY,MYS,64.99,1.54,5.47,1.05,51,1.96,0,1.259030
PW,PLW,66.3,1.51,6.17,1.06,50,2.00,0,1.261666
VC,VCT,65.23,1.53,5,1.05,50,2.00,0,1.263839
CW,CUW,64.8,1.54,5,1.05,50,2.00,0,1.265535
